Designator,Mid X,Mid Y,Rotation,Layer
D1,116.720708,-111.760931,8.0,bottom
D10,163.514369,-115.395881,105.0,bottom
D11,167.990688,-99.192314,105.0,bottom
D12,172.416768,-82.983052,105.0,bottom
D13,179.767609,-121.425483,105.0,bottom
D14,184.727273,-102.909884,105.0,bottom
D15,189.219472,-86.337885,105.0,bottom
D16,160.342154,-120.69543,15.0,bottom
D17,177.60861,-127.164753,195.0,bottom
D18,193.975723,-138.704067,210.0,bottom
D19,292.341868,-109.607254,255.0,bottom
D2,115.84887,-90.480159,282.0,bottom
D20,288.892858,-94.378516,262.0,bottom
D21,286.20115,-78.421459,262.0,bottom
D22,288.801573,-107.180784,72.0,bottom
D23,285.428898,-90.337357,72.0,bottom
D24,280.807551,-74.056182,75.0,bottom
D25,270.460712,-104.408366,75.0,bottom
D26,265.647929,-84.425182,75.0,bottom
D27,260.993173,-67.806484,75.0,bottom
D28,254.376272,-108.060684,75.0,bottom
D29,250.046172,-91.900683,75.0,bottom
D3,121.770835,-75.758757,105.0,bottom
D30,245.729073,-75.789084,75.0,bottom
D31,238.606071,-115.081486,75.0,bottom
D32,234.4958,-99.452489,75.0,bottom
D33,229.904173,-82.296583,75.0,bottom
D34,259.283015,-115.470811,165.0,bottom
D35,240.667779,-121.069563,165.0,bottom
D36,222.636843,-129.534757,165.0,bottom
D4,130.804873,-107.758984,108.0,bottom
D5,135.290395,-91.372399,105.0,bottom
D6,137.545172,-75.069683,108.0,bottom
D7,148.128856,-107.711995,105.0,bottom
D8,152.106868,-91.281732,105.0,bottom
D9,156.504155,-75.450393,105.0,bottom
LED10,223.071691,-145.5789,325.0,bottom
LED11,179.254541,-145.331171,35.0,bottom
LED12,144.458939,-88.148483,15.0,bottom
LED13,226.414878,-103.075345,345.0,bottom
LED14,254.933247,-130.726437,345.0,bottom
LED15,298.750771,-109.222913,352.0,bottom
LED16,296.786941,-92.763802,358.0,bottom
LED17,280.850173,-108.917884,168.0,bottom
LED18,175.945124,-103.036558,15.0,bottom
LED19,159.983664,-96.670779,15.0,bottom
LED20,171.534472,-119.459283,195.0,bottom
LED21,231.021872,-119.463784,165.0,bottom
LED22,246.939072,-113.107485,165.0,bottom
LED23,262.264972,-104.621685,165.0,bottom
LED24,155.713772,-113.128884,195.0,bottom
LED25,140.291272,-104.617185,195.0,bottom
LED26,121.631373,-108.882984,192.0,bottom
LED27,104.966073,-101.570584,188.0,bottom
LED28,242.516339,-96.711126,345.0,bottom
LED29,257.752753,-88.238969,345.0,bottom
LED30,277.56797,-92.257336,348.0,bottom
LED31,294.179462,-75.54863,172.0,bottom
LED32,222.193673,-86.671283,165.0,bottom
LED33,238.282172,-80.258785,165.0,bottom
LED34,253.477372,-71.787284,165.0,bottom
LED35,273.782673,-75.663983,168.0,bottom
LED36,180.329072,-86.637084,195.0,bottom
LED37,164.438972,-80.256986,195.0,bottom
LED38,149.247573,-71.848686,195.0,bottom
LED39,128.616472,-75.627786,192.0,bottom
LED4,102.647548,-118.452658,8.0,bottom
LED5,147.735775,-130.669235,15.0,bottom
LED6,163.978183,-136.576682,25.0,bottom
LED7,107.062138,-84.699983,8.0,bottom
LED8,125.107557,-92.236277,12.0,bottom
LED9,238.350852,-136.764002,335.0,bottom
SW1,103.224673,-113.854384,172.0,top
SW10,156.868772,-108.647084,165.0,top
SW11,161.268672,-92.226383,165.0,top
SW12,165.668572,-75.805585,165.0,top
SW13,172.771873,-114.978884,165.0,top
SW14,177.171772,-98.558084,165.0,top
SW15,181.571673,-82.137384,165.0,top
SW16,148.908572,-126.184384,165.0,top
SW17,166.214771,-132.483384,155.0,top
SW18,182.164373,-141.691886,145.0,top
SW19,299.457472,-113.854385,8.0,top
SW2,105.590573,-97.019784,172.0,top
SW20,297.091472,-97.019786,8.0,top
SW21,294.725571,-80.185284,8.0,top
SW22,280.075073,-104.333186,192.0,top
SW23,276.540573,-87.704684,192.0,top
SW24,273.006073,-71.076184,192.0,top
SW25,261.134072,-100.141983,195.0,top
SW26,256.734172,-83.721284,195.0,top
SW27,252.334272,-67.300484,195.0,top
SW28,245.813373,-108.647085,195.0,top
SW29,241.413474,-92.226384,195.0,top
SW3,107.956573,-80.185283,172.0,top
SW30,237.013473,-75.805584,195.0,top
SW31,229.910273,-114.978884,195.0,top
SW32,225.510372,-98.558084,195.0,top
SW33,221.110372,-82.137385,195.0,top
SW34,253.773572,-126.184385,195.0,top
SW35,236.467272,-132.483384,205.0,top
SW36,220.517773,-141.691884,215.0,top
SW4,122.607073,-104.333184,168.0,top
SW5,126.141573,-87.704685,168.0,top
SW6,129.676073,-71.076184,168.0,top
SW7,141.547972,-100.141983,165.0,top
SW8,145.947973,-83.721284,165.0,top
SW9,150.347872,-67.300485,165.0,top
U2,201.330973,-91.593185,270.0,bottom
USB1_4,139.349483,-52.800083,163.0,top
USB1_3,104.898798,-63.373224,106.0,bottom
USB1_2,111.406599,-65.202806,106.0,bottom
USB1,135.972157,-63.910202,17.0,bottom
